Ticker,t-SNE_Dim1,t-SNE_Dim2
AAPL,-35.47647,25.373734
BAC,-132.55983,-110.615036
CAT,38.17956,100.63789
CVX,-10.665468,58.791557
DAL,-49.57775,-56.227856
GOOGL,-31.60348,-53.500732
GS,-126.36565,-129.00458
HAL,77.19014,47.67173
JNJ,-40.677227,-76.78131
JPM,-33.952103,60.536728
KO,94.62441,47.151054
MCD,-10.964415,-54.271976
META,74.16409,68.585175
MMM,55.138958,85.64153
MSFT,-144.9069,-125.16402
NKE,38.493786,-30.969461
NVDA,32.108467,84.04549
PFE,-20.890125,-86.19576
UNH,14.093645,-40.63682
XOM,-26.470434,42.78679
